2025-06-25 23:13:59 - Red: 28, Blue: 1
2025-06-25 23:14:33 - Red: 49, Blue: 7
2025-06-26 08:26:36 - Red: 0, Blue: 0
2025-06-26 08:27:06 - Red: 90, Blue: 1
2025-06-26 08:27:36 - Red: 90, Blue: 1
2025-06-26 08:28:02 - Red: 90, Blue: 1
2025-06-26 08:29:29 - Red: 90, Blue: 1
2025-06-26 08:29:41 - Red: 90, Blue: 1
2025-06-26 08:30:27 - Red: 90, Blue: 1
2025-06-26 08:32:53 - Red: 0, Blue: 1
2025-06-26 08:33:26 - Red: 29, Blue: N/A
2025-06-26 08:34:37 - Red: 29, Blue: N/A
2025-06-26 08:36:19 - Red: 30, Blue: 9
2025-06-26 08:37:37 - Red: 30, Blue: N/A
2025-06-26 08:38:51 - Red: 30, Blue: 5
2025-06-26 08:40:51 - Red: 30, Blue: 9
2025-06-26 08:41:15 - Red: N/A, Blue: 94
2025-06-26 08:42:08 - Red: 33, Blue: 9
2025-06-26 08:51:22 - Red: N/A, Blue: N/A
2025-06-26 08:52:02 - Red: 46, Blue: 9
2025-06-26 08:52:58 - Red: 0, Blue: N/A
2025-06-26 08:53:29 - Red: 0, Blue: N/A
2025-06-26 08:53:36 - Red: 0, Blue: N/A
2025-06-26 08:54:03 - Red: 0, Blue: N/A
2025-06-26 08:55:03 - Red: 0, Blue: N/A
2025-06-26 08:56:01 - Red: 0, Blue: 0
2025-06-26 08:56:29 - Red: 0, Blue: 0
2025-06-26 08:57:39 - Red: 0, Blue: 1
2025-06-26 08:58:28 - Red: 0, Blue: 2
2025-06-26 09:18:32 - Red: 65, Blue: 9
2025-06-26 10:13:53 - Red: 0, Blue: 0
2025-06-26 10:15:11 - Red: 0, Blue: 0
2025-06-26 10:16:56 - Red: 0, Blue: 0
2025-06-26 10:18:40 - Red: 0, Blue: 1
2025-06-26 10:19:40 - Red: N/A, Blue: 1
2025-06-26 10:20:19 - Red: 2, Blue: 1
